Title,Salary,Job Type,Job Location,Functional Area,Career Level,Minimum Experience,Minimum Education,Gender,Skills,Remote_Friendly
Data Entry Operator,35000.0,full time/permanent,"DHA, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Data Entry,Experienced Professional,2.0,Bachelor,No Preference,"Data Analytics, Data Management, Data Comparison, MS Excel",0
Accounts Officer,45000.0,full time/permanent,"Clifton, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,3.0,Bachelor,No Preference,"Accounts Software Command, Accounting, Payroll Process",0
Customer Sales Specialist,50000.0,full time/permanent,"Johar Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Telemarketing,Entry Level,,Bachelor,No Preference,"Communication Skills, Fluent in English, Travels Knowledge",0
HR Assistant,40000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Human Resources,Entry Level,,Bachelor,Male,"HR Information Management, Employee Relations Management, Technical Recruitment Skills, HR Policies Command, Talent Acquisition",0
Customer Service Representative,30000.0,full time/permanent,"DHA, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Telemarketing,Entry Level,1.0,Intermediate,No Preference,"Communication Skills, Fluent in English, Travels Knowledge",0
Finance Officer,30000.0,full time/permanent,"Kimari, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,,Master,No Preference,"Operations, Financial Accounting, Communication Skills",0
Social Media Manager,50000.0,full time/permanent,"DHA, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Experienced Professional,3.0,,No Preference,"Creative Social Management, Social Media Measurement, Social Media Integration, Social Media Optimization",0
Business Continuity Management Specialist,100000.0,full time/permanent,"Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Management Information System (MIS),Experienced Professional,3.0,Bachelor,No Preference,"Disaster Recovery, Risk Management, Business Continuity Management",0
Project Manager - Real Estate,150000.0,full time/permanent,"Jhang,
                                                                                                                                                                                                                                                                                            Pakistan",Project Management,Department Head,,Certification,Male,"Interpersonal Leadership, Construction Engineering, Team Building",0
Assistant Account Manager - Sales,35000.0,full time/permanent,"I.I Chundrigar Road, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Entry Level,,Intermediate,Male,"Communication Skills, Adaptive Skills, Mathematical Knowledge, MIT Knowledge",0
Monitoring Officer,45000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Teachers/Education, Training & Development",Experienced Professional,,Master,Female,"Microsoft PowerPoint, Microsoft Word, Monitoring Skills, Admin Operations Management",0
Marketing Manager,50000.0,full time/permanent,"Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Experienced Professional,3.0,Bachelor,No Preference,"Brand Management, Digital Marketing Management, Digital Marketing Analysis, eCommerce  SEO, Lead Genaration Skills, Marketing Engineering, Business Development Process",0
Storekeeper,40000.0,full time/permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Warehousing,Experienced Professional,2.0,Diploma,No Preference,"Inventory Control, Record Keeping, Store Management",0
Accounts Assistant,40000.0,full time/permanent,"Izmir, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,2.0,,Male,"Accounts Software Command, Accounts Payments Handling, Field Task Management",0
Sales Executive,40000.0,full time/permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,2.0,Intermediate,No Preference,"Sales Management, Sales Automation, Retail Sales",0
Career Counselor / Admission Officer,20000.0,full time/permanent,"Amin Town, 
                                                                                                                                                                                                                                                                                                            Faisalabad,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,1.0,Bachelor,No Preference,"Communication Skills, Coordination Skills, Marketing Skills, Fluent in English",0
Sales Executive,45000.0,full time/permanent,"Clifton, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,1.0,Intermediate,Male,"Negotiation Skills, Mathematical Knowledge, Retail Sales",0
Email Marketing Expert,25000.0,full time/permanent,"Jallo, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Entry Level,,Intermediate,Male,"Export Operation Knowledge, Email List Building, Email List Generation, Email Strategies, Email List Management, Email Campaign Handling, Marketing Email Writing",0
Customer Support Executive,20000.0,full time/permanent,"Gulberg 2, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,1.0,Intermediate,No Preference,"CRM, Customer Support, Communication Skills",0
Recovery Executive,40000.0,contract,"Bahria Town Lahore, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Entry Level,,Bachelor,Male,"Customer Care Representation, Credit Collection Recovery, Marketing Skills",0
Key Punch Operator,30000.0,full time/permanent,"Wah Cantt,
                                                                                                                                                                                                                                                                                            Pakistan",Data Entry,Entry Level,,Bachelor,No Preference,"Data Entry, Data Management, Communication Skills",0
Customer Support Representative,40000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,1.0,Bachelor,No Preference,"Fluent in English, Customer Care Representation, Communication Skills",0
Sales / Marketing Executive,25000.0,full time/permanent,"Gulistan-e-Johar, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Entry Level,,Matriculation,No Preference,"Web Project Management, Business Development Process, Call Handling, Technical Product Sales, Telemarketing  Skills, Live Chat Handling, Sales Pro Skills",0
Sales Verifier,100000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,1.0,Intermediate,No Preference,"Telemarketing  Skills, Communication Skills, Sales Management",0
Human Resource Intern,5000.0,internship,"Allama Iqbal Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Human Resources,Intern/Student,1.0,Bachelor,No Preference,"HR Policies Command, Talent Acquisition, HR Relationship, Employee Relations  Management",0
Fabricator,30000.0,full time/permanent,"SITE Industrial Area, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Industrial Production,Experienced Professional,,Non-Matriculation,Male,"Knowledge of Fabric Quality, Fabric Selection, Knit Fabrication",0
eCommerce Support Specialist,25000.0,part time,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Faisalabad,
                                                                                                                                                                                                                                                                                                                                                                                        Hyderabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                                                                                                                        Multan,
                                                                                                                                                                                                                                                                                                                                                                                        Peshawar,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Entry Level,,Matriculation,No Preference,"Social Media Handling, Fluent in English, Communication Skills, Social Media Managing, Digital Marketing",0
Telesales Executive,30000.0,full time/permanent,"Gulberg 2, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Telemarketing,Entry Level,,Matriculation,No Preference,"Fluent in English, Coordination Skills, Telemarketing  Skills, Sales Operations",0
Customer Service Representative - Spanish Speaker,100000.0,full time/permanent,"Gulshan-e-Iqbal, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,,Matriculation,No Preference,"Dental Care, Customer Service, Dental Products Knowledge, General Medical Knowledge",0
Facility Maintenance Technician,175000.0,full time/permanent,"Doha,
                                                                                                                                                                                                                                                                                            Qatar",Maintenance/Repair,Experienced Professional,5.0,Diploma,Male,"Air Conditioner Maintenance, Communication Skills, HVAC Maintenance",0
Real Estate Expert,35000.0,full time/permanent,"Gujranwala,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                                                                                                                        Kasur,
                                                                                                                                                                                                                                                                                                                                                                                        Okara,
                                                                                                                                                                                                                                                                                                                                                                                        Patoki,
                                                                                                                                                                                                                                                                                                                                                                                        Sahiwal,
                                                                                                                                                                                                                                                                                                                                                                                        Sheikhupura,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,1.0,Intermediate,Female,"Sales Presentation Skills, Sales Management, Communication Skills",0
Audit Executive,50000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,,Bachelor,No Preference,"Admin Operations Management, Auditing Command, Problem Analysis Skills, Financial Analysis",0
Sales / Marketing Executive,25000.0,full time/permanent,"Mughalpura, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Entry Level,,Matriculation,No Preference,"Marketing Skills, Coordination Skills, Communication Skills",0
Sales Assistant,35000.0,full time/permanent,"Gujranwala,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,2.0,Bachelor,Female,"Interpersonal Skills, End to End Sales, Hand on Social Media",0
Customer Support Representative,25000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,1.0,Bachelor,Female,"Fluent in English, Communication Skills, Customer Service",0
Project Sales Executive,50000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,2.0,Bachelor,Female,"Business Development Consultancy, Real Estate Negotiation, Marketing Skills",0
Senior Officer Accounts,45000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,,Bachelor,No Preference,"Financial Accounting, Admin Operations Management, ERP",0
School Program Officer,50000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Administration,Experienced Professional,,Bachelor,No Preference,"Teaching Workshops, Training Development, Academic Administration, Presentation Skills",0
Admin Supervisor,45000.0,full time/permanent,"Korangi Industrial Area, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Administration,Experienced Professional,,Bachelor,Male,"Environment Health Safety Management, Document Handling, Workforce Management, Administrative Supervision, Management",0
Subject Teacher,15000.0,full time/permanent,"Gulistan-e-Johar, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan","Teachers/Education, Training & Development",Experienced Professional,,Master,No Preference,"Coordination Skills, Educational Assessment, Presentation Skills",0
Website Designer / Developer,18000.0,full time/permanent,"Abbas Town, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Entry Level,1.0,Bachelor,No Preference,"Website Creation, Website Building, Adobe Dreamweaver",0
Lead Generation Specialist,30000.0,full time/permanent,"DHA, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,1.0,Intermediate,No Preference,"Lead Generation, Marketing Strategies, Global Staffing, Data Management",0
Senior IT Executive,40000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Computer Networking,Experienced Professional,2.0,Bachelor,Male,"Negotiations Skills, Communication Skills, Configuration Switches",0
DAE Civil Intern,30000.0,internship,"Multan,
                                                                                                                                                                                                                                                                                                                                                                                        Chowk Azam,
                                                                                                                                                                                                                                                                                                                                                                                        Dera Ghazi Khan,
                                                                                                                                                                                                                                                                                                                                                                                        Kabir Wala,
                                                                                                                                                                                                                                                                                                                                                                                        Khanewal,
                                                                                                                                                                                                                                                                                                                                                                                        Layyah,
                                                                                                                                                                                                                                                                                                                                                                                        Vehari,
                                                                                                                                                                                                                                                                                            Pakistan",Architects & Construction,Intern/Student,,Diploma,No Preference,"Labor Management, Production Coordination, Shopify Theme Management",0
Internal Audit Officer,35000.0,full time/permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,2.0,Bachelor,Male,"Stock Audit Planning, Audit Assignment Handling, Electrical Controls Knowledge, Sales Audit",0
Field Sales Officer,20000.0,full time/permanent,"Gujranwala,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,,Intermediate,Male,"Business Development Strategies, Field Work, Sanitary Knowledge, Credit Collection Recovery, Retail Sales",0
Medical Officer - Quality Assurance,60000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Quality Assurance (QA),Entry Level,,MBBS,No Preference,"Microsoft Office, Multitasking Skills, Persuasion Customer, Clinical Quality Handling",0
Sales Executive,90000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,,Bachelor,No Preference,"CRM Database Management, Client Acquisition, Sales Acquisition, Lead Generation, Sales Management",0
Credit Repair Officer,50000.0,full time/permanent,"DHA, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,2.0,Bachelor,No Preference,"Credit Management, Credit Negotiations, Credit Counseling",0
Recovery Officer,40000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Entry Level,,Bachelor,Male,"Computer Proficient, Financial Accounting, Field Task Management",0
Customer Support Executive,60000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,1.0,Bachelor,No Preference,"Fluent in English, Listening to Customers, Customer Satisfaction Management",0
Sales Executive,70000.0,full time/permanent,Pakistan,,,4.0,,No Preference,"Communication, Negotiation, Customer Relationship Management, Lead Generation, UK  campaigns",0
Content Analyst,120000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",,,3.0,,No Preference,"Content Evaluation, Data Analysis, Research Skills, Analytical Thinking, Attention to Detail, Report Writing, Content Strategy, Analytics Tools, Python, Analytics",0
G M Administration,500000.0,full time/permanent,"Gujranwala,
                                                                                                                                                                                                                                                                                            Pakistan",,,15.0,,No Preference,"Leadership, Strategic Planning, Communication, Financial Management, Problem-Solving, Time Management, Project Management, Conflict Resolution, Team Building",0
Business Development Executive,70000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",,,1.0,,No Preference,"Communication, Relationship Building, Sales Forecasting, Networking",0
